t x y
0.000000000000000000e+00 3.590000000000000000e+07 0.000000000000000000e+00
3.600000000000000000e+03 3.391460060501963645e+07 1.177326912127645314e+07
7.200000000000000000e+03 2.817800190518091992e+07 2.224432980855167285e+07
1.080000000000000000e+04 1.932471306972653419e+07 3.025500726776875928e+07
1.440000000000000000e+04 8.333971663976577111e+06 3.491926282589647919e+07
1.800000000000000000e+04 -3.578567084360644221e+06 3.572119619529461861e+07
2.160000000000000000e+04 -1.509529051658728160e+07 3.257210776446360350e+07
2.520000000000000000e+04 -2.494236600125477836e+07 2.582030941447932646e+07
2.880000000000000000e+04 -3.203063600579581410e+07 1.621259871409321204e+07
3.240000000000000000e+04 -3.557608677096397430e+07 4.811657725237935781e+06
3.600000000000000000e+04 -3.518656588427468389e+07 -7.121487293508077040e+06
3.960000000000000000e+04 -3.090515716370927170e+07 -1.826694448139670491e+07
4.320000000000000000e+04 -2.320541527687082812e+07 -2.739194592992564291e+07
4.680000000000000000e+04 -1.293898718106474727e+07 -3.348720070009199902e+07
5.040000000000000000e+04 -1.241413830610012636e+06 -3.587852967585447431e+07
5.400000000000000000e+04 1.059346883840814047e+07 -3.430143463427842408e+07
5.760000000000000000e+04 2.125663748945874721e+07 -2.893035365566305816e+07
6.120000000000000000e+04 2.956866880285532027e+07 -2.035936701440029219e+07
6.480000000000000000e+04 3.461019219694474339e+07 -9.536487618119439110e+06
6.840000000000000000e+04 3.582357884184370190e+07 2.341196053774286527e+06
7.200000000000000000e+04 3.307461942776618525e+07 1.395992656529509462e+07
